num_ip,reg_time,country,registrar,tld,dot_num,avg_host,max_host,avg_path,max_path,class
2,1169395200,,GODADDY.COM LLC,com.au,0,9.0,9,0.0,0,bad
2,,,,com,0,14.0,14,0.0,0,bad
2,,,,net,0,9.0,9,0.0,0,bad
2,1130947200,CA,ENOM INC.,net,0,17.0,17,0.0,0,bad
2,1077033600,,GODADDY.COM INC.,com,0,12.0,12,0.0,0,bad
3,1181836800,US,,com,0,10.0,10,0.0,0,bad
2,1295712000,,DNC HOLDINGS INC.,hk,0,3.0,3,0.0,0,bad
0,,,,us,0,11.0,11,5.666666666666667,7,bad
2,1064937600,RUSSIAN FEDERATION,TUCOWS DOMAINS INC.,com,0,4.5,6,0.0,0,bad
2,1208448000,ID,ENOM INC.,info,0,5.0,5,0.0,0,bad
2,1030982400,US,1&1 INTERNET SE,de,0,6.5,7,6.875,13,bad
0,,,,ma,1,5.0,8,4.0,6,bad
0,,,,com,0,3.0,4,0.0,0,bad
2,1042473600,CN,HICHINA ZHICHENG TECHNOLOGY LTD.,net,0,6.0,6,5.333333333333333,7,bad
2,1138809600,,,com,0,7.0,7,0.0,0,bad
5,1100793600,,ENOM INC.,com,1,8.5,12,0.0,0,bad
5,976723200,,ENOM INC.,com,0,11.0,11,0.0,0,bad
2,1196784000,,WEB COMMERCE COMMUNICATIONS LIMITED DBA WEBNIC.CC,ru,1,7.0,11,3.6666666666666665,5,bad
0,,,RU-CENTER-RU,com,0,9.5,13,0.0,0,bad
2,1138032000,MT,ENOM INC.,pl,1,7.5,9,5.0,7,bad
0,,,,com,0,9.0,9,0.0,0,bad
2,1190995200,,HICHINA ZHICHENG TECHNOLOGY LTD.,com,0,4.0,4,0.0,0,bad
2,1262016000,CA,,com,1,7.666666666666667,9,3.0,3,bad
4,1449504000,,,vg,0,6.0,6,2.5,3,bad
0,1441814400,,,com,0,15.0,15,0.0,0,bad
2,1196092800,,,com,0,13.0,13,0.0,0,bad
2,1145203200,,,com,0,9.0,9,0.0,0,bad
2,1160582400,,TUCOWS DOMAINS INC.,cz,0,11.0,11,0.0,0,bad
0,,,,net,0,14.0,14,0.0,0,bad
2,1076601600,,TUCOWS DOMAINS INC.,cz,0,7.0,7,0.0,0,bad
0,,,,org,0,6.0,6,3.0,3,bad
2,1316707200,IN,NET 4 INDIA LIMITED,com,0,7.333333333333333,9,0.0,0,bad
2,1169136000,,TUCOWS DOMAINS INC.,cz,0,13.0,13,0.0,0,bad
0,,,,info,0,6.0,6,0.0,0,bad
0,1068134400,CZ,,org,0,8.5,12,0.0,0,bad
2,1063209600,CZ,TUCOWS INC. (R11-LROR),cz,0,15.0,15,0.0,0,bad
0,,,REG-INTERNET-CZ,net,0,5.5,9,0.0,0,bad
2,1378915200,JP,,cz,0,6.5,7,0.0,0,bad
0,,,,info,1,6.5,7,0.0,0,bad
2,1044892800,CZ,,com,0,6.0,6,0.0,0,bad
2,1042473600,CZ,CSL COMPUTER SERVICE LANGENBACH GMBH D/B/A JOKER.COM,com,0,8.0,8,0.0,0,bad
2,1122307200,CZ,TUCOWS INC.,net,1,7.0,9,3.5,4,bad
0,,,,ws,0,7.0,8,2.5,5,bad
0,,,,com,0,12.0,12,0.0,0,bad
0,,,,com,0,6.0,6,0.0,0,bad
2,1124294400,,XIN NET TECHNOLOGY CORPORATION,ru,0,7.0,7,0.0,0,bad
0,,,,com,0,14.0,14,3.0,4,bad
2,1056297600,,GODADDY.COM LLC,com,0,17.0,17,0.0,0,bad
0,1146067200,,ENOM INC.,sk,1,3.5,4,0.0,0,bad
0,,,,com,0,9.0,9,0.0,0,bad
2,1229011200,,ENOM INC.,com,0,11.0,11,0.0,0,bad
2,1197043200,,PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM,info,0,10.0,10,0.0,0,bad
5,1224950400,US,ENOM INC.,info,0,10.0,10,0.0,0,bad
5,1221840000,US,ENOM INC. (R126-LRMS),info,0,10.0,10,0.0,0,bad
