num,url:num_ip,reg_time,country,registrar
00000,diaryofagameaddict.com:2,2007-01-22,,GODADDY.COM LLC
00008,crackspider.us:2,2003-10-01,RUSSIAN FEDERATION,TUCOWS DOMAINS INC.
00005,toddscarwash.com:3,2007-06-15,US,UDOMAINNAME.COM LLC
00001,espdesign.com.au:2,,,
00007,ipl.hk:0,,,
00002,iamagameaddict.com:2,,,
00012,ch.ma:0,,,
00003,kalantzis.net:2,2005-11-03,CA,ENOM INC.
00010,rupor.info:2,2002-09-03,US,1&1 INTERNET SE
00011,svision-online.de:0,,,
00013,sn-gzzx.com:2,2003-01-14,CN,HICHINA ZHICHENG TECHNOLOGY LTD.
00006,tubemoviez.com:2,2011-01-23,,DNC HOLDINGS INC.
00015,outporn.com:5,2004-11-19,,ENOM INC.
00016,aimoo.com:5,2000-12-14,,ENOM INC.
00017,xindalawyer.com:2,2007-12-05,,WEB COMMERCE COMMUNICATIONS LIMITED DBA WEBNIC.CC
00019,deletespyware-adware.com:2,2006-01-24,MT,ENOM INC.
00020,strefa.pl:0,,,
00004,slightlyoffcenter.net:2,2004-02-18,,GODADDY.COM INC.
00009,pos-kupang.com:2,2008-04-18,ID,ENOM INC.
00023,favorit-network.com:4,2015-12-08,,DROPCATCH.COM 575 LLC
00025,juicypussyclips.com:2,2007-11-27,,MONIKER ONLINE SERVICES INC.
00018,spb.ru:0,,,RU-CENTER-RU
00024,cracks.vg:0,2015-09-10,,INTERNETX GMBH
00022,zkic.com:2,2009-12-29,CA,ALPINE DOMAINS INC.
00026,nuptialimages.com:2,2006-04-17,,DOMAINREGI LLC
00028,bezproudoff.cz:0,,,
00029,ceskarepublika.net:2,2004-02-13,,TUCOWS DOMAINS INC.
00030,hotspot.cz:0,,,
00031,gmcjjh.org:2,2011-09-23,IN,NET 4 INDIA LIMITED
00014,sunlux.net:2,2006-02-02,,TODAY AND TOMORROW CO. LTD.
00032,nerez-schodiste-zabradli.com:2,2007-01-19,,TUCOWS DOMAINS INC.
00034,nowina.info:0,2003-11-07,CZ,TUCOWS INC. (R139-LRMS)
00036,otylkaaotesanek.cz:0,,,REG-INTERNET-CZ
00035,obada-konstruktiwa.org:2,2003-09-11,CZ,TUCOWS INC. (R11-LROR)
00033,nordiccountry.cz:0,,,
00038,pension-helene.cz:0,,,
00037,pb-webdesign.net:2,2013-09-12,JP,GO CANADA DOMAINS LLC
