tld,dot_num,avg_host,max_host,avg_path,max_path,class
net.ye,1,2.0,3,5.0,7,good
org,1,4.5,6,5.666666666666667,13,good
com,0,6.0,6,7.25,15,bad
com,1,8.0,13,6.333333333333333,9,good
name,1,9.0,14,3.5714285714285716,6,bad
net,0,3.5,5,6.8,10,bad
com,1,6.5,9,6.5,14,good
com,1,9.0,10,5.833333333333333,9,good
org,0,3.0,3,6.25,15,good
com,1,9.5,13,6.0,6,good
org,0,6.5,9,4.285714285714286,11,good
com,1,6.0,7,31.0,31,bad
edu.tw,2,6.0,11,2.6666666666666665,5,bad
org,1,6.0,9,3.0,3,good
org,1,6.0,10,9.333333333333334,18,good
com,1,4.5,7,8.8,21,good
com,1,6.5,10,6.333333333333333,9,good
cz,1,4.0,5,6.2727272727272725,10,good
com,0,10.0,10,7.0,7,bad
org,1,3.0,3,4.888888888888889,8,good
com,1,7.0,10,4.6,8,good
it,0,19.0,19,4.25,6,bad
net,0,6.0,6,3.0,6,good
org,1,5.5,9,2.5,4,good
gov,1,8.5,11,3.8,13,good
gov.uk,1,7.0,11,5.2,12,good
com,1,6.0,9,6.0,7,good
eu,0,14.0,14,1.5,3,bad
com,1,13.0,16,3.0,3,bad
ru,2,4.666666666666667,8,6.0,8,good
edu,2,5.666666666666667,7,3.5,6,good
com,0,8.0,8,3.8333333333333335,7,bad
org,1,5.5,9,29.0,54,good
com,0,10.0,10,8.625,24,bad
cba.pl,1,6.0,9,2.0,4,bad
com,1,8.5,9,5.117647058823529,12,good
it,1,4.0,5,6.2,13,bad
de,2,5.25,9,1.75,3,good
ru,0,9.0,9,11.0,11,bad
org.na,1,6.5,10,4.0,5,good
org,0,4.0,4,4.0,9,good
com,1,7.5,12,5.833333333333333,9,good
org,1,8.0,13,0.0,0,good
gov,1,3.0,3,6.75,13,good
com,0,15.0,15,5.75,9,bad
org,1,7.5,8,5.5,7,good
net,0,11.0,11,0.0,0,good
com,0,18.0,18,5.166666666666667,8,bad
com,0,8.0,8,7.0,7,bad
com,0,9.0,9,5.2,11,bad
com,2,3.6666666666666665,5,2.0,2,bad
com,0,26.0,26,3.3333333333333335,7,bad
net,1,9.0,11,5.125,8,good
com,0,14.0,14,2.0,3,bad
com,0,8.0,8,8.666666666666666,14,bad
su,0,6.0,6,14.8,55,bad
edu,2,6.666666666666667,7,3.5,6,good
info,1,6.0,9,3.5,6,good
us,3,4.0,8,0.0,0,good
com,0,17.0,17,3.75,10,bad
edu.tr,1,4.5,7,4.0,7,good
com.au,1,5.5,8,5.75,8,good
com,0,9.0,9,6.8,18,bad
com,1,3.5,4,6.833333333333333,11,good
gov.uk,1,6.0,9,4.25,9,good
org,1,5.5,9,5.5,7,good
com,0,11.0,11,5.4,7,good
jp,1,7.5,12,6.5,8,good
com,0,13.0,13,8.5,32,bad
edu,2,6.333333333333333,13,4.428571428571429,8,good
org,1,5.0,9,14.5,25,good
gov,1,6.0,7,8.166666666666666,11,good
org,1,6.0,9,7.0,10,good
website.pl,0,8.0,8,3.75,7,bad
org.uk,1,5.5,8,4.333333333333333,9,good
com,1,4.5,7,3.0,3,good
com,1,5.5,8,9.0,11,good
com,1,2.5,3,4.416666666666667,9,good
org,0,8.0,8,5.25,8,bad
com,0,15.0,15,13.0,13,bad
com,0,11.0,11,0.0,0,good
org,1,6.0,10,26.0,48,good
org,1,5.5,9,20.0,36,good
gov.au,1,7.0,11,9.25,17,good
cz,0,8.0,8,7.0,7,bad
org,1,5.5,9,29.0,54,good
mx,1,5.0,7,6.333333333333333,9,bad
hu,0,11.0,11,5.0,7,bad
org,1,7.0,11,8.0,9,good
com,1,4.0,5,8.0,8,good
jp,1,9.0,10,7.0,7,bad
com,0,15.0,15,8.0,8,bad
com,1,4.5,6,6.0,6,good
com,1,4.0,4,3.25,10,good
org,1,6.0,9,4.0,4,good
th,1,3.0,4,4.0,8,bad
org,1,5.5,8,7.0,7,good
edu,1,6.0,8,7.666666666666667,10,good
org,1,5.5,9,4.5,5,good
pl,0,2.0,3,3.75,7,bad
org,0,9.0,9,10.5,32,bad
org,0,15.0,15,4.333333333333333,8,bad
com,0,16.0,16,7.5,14,bad
com,0,14.0,14,20.0,52,bad
hu,0,9.0,9,5.285714285714286,8,bad
su,0,5.5,6,0.0,0,bad
com,0,8.0,8,5.0,5,bad
com,0,9.0,9,0.0,0,bad
edu,1,3.5,4,5.833333333333333,8,good
com,1,5.5,8,3.8,6,good
com,1,9.0,14,7.5,13,good
com,1,5.5,8,6.428571428571429,11,bad
gov,2,3.3333333333333335,4,6.0,10,good
org,1,4.0,5,6.4,11,good
com,1,4.0,4,3.6666666666666665,8,good
gov,2,4.0,5,4.0,5,good
com,2,4.0,6,8.0,8,bad
net,1,3.5,4,4.0,6,good
com,1,7.5,12,4.384615384615385,7,good
edu.au,2,4.666666666666667,7,7.0,8,good
gov.mt,1,9.0,15,10.0,16,good
com,0,17.0,17,11.666666666666666,19,bad
org,1,5.5,9,5.5,7,good
vn,0,5.0,5,5.428571428571429,11,bad
com,0,24.0,24,5.2,10,bad
org,1,5.0,10,5.75,8,good
com,0,24.0,24,2.0,3,bad
org,1,6.0,9,20.0,36,good
ru,1,4.0,4,8.5,9,good
org,1,3.5,4,9.666666666666666,14,good
ms,0,3.0,3,13.0,13,good
org,1,5.5,9,4.666666666666667,5,good
org,1,6.0,9,0.0,0,good
uk,2,3.3333333333333335,5,4.5,5,good
ru,0,14.0,14,3.5,4,bad
org,1,5.5,9,14.0,24,good
com,0,9.0,9,3.5,7,bad
com,0,2.5,4,4.0,8,bad
gov,1,6.0,9,5.0,5,good
org,1,5.5,9,0.0,0,good
com,1,12.0,17,6.111111111111111,9,good
biz,1,6.5,10,10.0,10,bad
int,1,3.5,4,4.222222222222222,8,good
com,0,9.0,9,3.5,5,bad
org,1,6.0,9,6.0,8,good
org,0,13.0,13,6.5,10,bad
md,1,5.5,8,5.0,7,good
org,1,6.0,9,12.0,20,good
info,0,1.5,2,6.0,9,good
net,1,4.666666666666667,6,5.0,5,bad
com,0,11.0,11,4.666666666666667,8,bad
com,1,5.0,7,3.8,13,good
com,0,18.0,18,3.5,4,bad
eu,1,3.5,7,0.0,0,bad
gov.by,1,4.0,5,0.0,0,good
gov,1,6.0,7,5.4,10,good
com,1,7.0,9,0.0,0,good
org,1,6.0,9,11.5,19,good
ch,2,3.3333333333333335,4,5.142857142857143,8,good
net,1,14.5,16,0.0,0,good
org,1,5.5,9,20.0,30,good
org,1,3.5,4,9.0,14,good
com,1,10.0,13,6.0,6,good
com,1,4.0,5,3.0,7,good
com,0,6.5,7,18.0,18,bad
de,1,3.0,3,3.875,8,good
com,3,6.5,12,11.5,32,bad
gov,1,3.0,4,6.0,8,good
com,1,5.5,7,4.076923076923077,7,good
com,1,11.0,15,5.0,7,good
int,1,3.0,3,4.285714285714286,7,good
fi,1,7.0,9,4.5,9,good
edu,1,5.5,7,3.0,6,good
com,0,7.0,7,3.3333333333333335,4,bad
de,2,6.0,9,6.666666666666667,10,bad
com.vn,0,7.0,7,4.6,7,bad
edu,1,4.0,5,4.5,9,good
net,0,13.0,13,12.25,32,bad
com,1,9.5,16,5.333333333333333,8,good
org,1,5.5,9,0.0,0,good
info,1,10.0,14,6.066666666666666,15,bad
ro,0,9.0,9,6.166666666666667,8,bad
org,1,5.5,9,4.0,6,good
int,1,3.5,4,4.4,6,good
com,1,5.0,7,5.545454545454546,19,good
com,2,9.0,13,10.75,33,bad
uk,2,4.333333333333333,8,5.75,11,good
fr,1,3.5,4,5.0,10,good
org.uk,1,5.0,5,2.5,5,good
com,0,10.0,10,4.333333333333333,5,bad
com,1,11.0,18,4.285714285714286,6,good
com,1,7.5,12,6.0,8,good
org,1,5.0,9,3.5,4,good
com,0,7.0,7,15.0,15,good
org,1,5.5,9,9.75,15,good
org,1,7.5,11,5.333333333333333,7,good
nl,1,3.0,4,2.142857142857143,4,good
com,1,6.0,9,6.083333333333333,10,good
org,1,4.5,6,8.0,8,bad
gr,0,9.0,9,5.0,9,bad
